date,quiet luxury,streetwear,zara haul
2020-01-01,0,32,0
2020-02-01,0,33,0
2020-03-01,0,30,0
2020-04-01,0,35,0
2020-05-01,0,35,1
2020-06-01,0,38,1
2020-07-01,0,43,1
2020-08-01,0,43,1
2020-09-01,0,40,1
2020-10-01,0,38,1
2020-11-01,0,41,1
2020-12-01,0,41,0
2021-01-01,0,40,1
2021-02-01,0,39,1
2021-03-01,0,38,1
2021-04-01,0,37,1
2021-05-01,0,38,1
2021-06-01,0,37,1
2021-07-01,0,39,0
2021-08-01,0,43,0
2021-09-01,0,38,1
2021-10-01,0,38,1
2021-11-01,0,41,1
2021-12-01,0,40,0
2022-01-01,0,40,1
2022-02-01,0,39,0
2022-03-01,0,41,0
2022-04-01,0,43,0
2022-05-01,0,39,0
2022-06-01,0,38,0
2022-07-01,0,40,0
2022-08-01,0,42,0
2022-09-01,0,41,0
2022-10-01,0,39,0
2022-11-01,0,43,0
2022-12-01,0,45,0
2023-01-01,0,42,0
2023-02-01,0,39,0
2023-03-01,1,42,0
2023-04-01,4,39,0
2023-05-01,5,36,0
2023-06-01,5,36,0
2023-07-01,4,39,0
2023-08-01,4,40,0
2023-09-01,4,40,0
2023-10-01,4,38,0
2023-11-01,3,45,0
2023-12-01,3,43,0
2024-01-01,5,39,0
2024-02-01,5,36,0
2024-03-01,4,38,0
2024-04-01,4,38,0
2024-05-01,3,35,0
2024-06-01,3,36,0
2024-07-01,3,38,0
2024-08-01,3,42,0
2024-09-01,3,42,0
2024-10-01,3,42,0
2024-11-01,3,49,0
2024-12-01,3,52,0
2025-01-01,3,43,0
2025-02-01,3,42,0
2025-03-01,3,44,0
2025-04-01,3,44,0
2025-05-01,3,43,0
2025-06-01,3,43,0
2025-07-01,3,50,0
2025-08-01,8,85,0
2025-09-01,7,100,0
2025-10-01,7,81,0
2025-11-01,7,91,0
2025-12-01,9,98,0
